ps_wcode,ps_c_code,treatment,bl_age,edu_cat,religion,bl_quint_all,bl_quint_missing,bl_homeland,bl_agland,bl_cropsr,impute_ag,bl_dds_m,bl_mdd,impute_dd,bl_market,impute_market,bl_lefthome,bl_income,bl_ss_cont,bl_huscomm_cont,bl_extcomm_cont,bl_dec_cont,bl_lefthome_m,bl_ss_cont_m,bl_huscomm_cont_m,bl_extcomm_cont_m,bl_dec_cont_m,bl_income_m,dds_avg,mdd_avg,gardenprac,cropsr,poultrynum_avg,poultryegg_avg,knfg_score_el,knowscore,el_emp_market,el_emp_buygoods,el_emp_soldgoods,el_emp_buymarket,el_dec_income,el_selfefficacy,el_lefthome,el_income,el_ss_cont,el_huscomm_cont,el_extcomm_cont,el_dec_cont,el_network_cont
588,124,0,30,3,2,2,0,7,0,3,0,4,0,0,0,0,0,0,1.6,2,.33333334,.40000001,0,1.6,2,.33333334,.40000001,0,4.5,.5,2,1.0323162,2.5,5,1,2,3,1,1,1,1,0,0,1,1.2,2,1.6666666,1.2,.41509435
589,124,0,18,0,2,2,0,7,0,3,0,3,0,0,0,0,0,0,2,1.6,0,0,0,2,1.6,0,0,0,4.6666665,.66666669,2,1.2323163,0,0,2,3,0,0,0,0,0,0,1,0,1.6,2,1.6666666,1.2,.26415095
590,124,0,32,0,2,1,0,6,0,1,0,4,0,0,0,0,0,0,2,2,.33333334,1.2,0,2,2,.33333334,1.2,0,4.3333335,.33333334,2,3,0,0,4,2,,,,,1,1,,,,,,2,0
591,124,0,30,3,2,1,0,4.5,0,4,0,5,1,0,0,0,1,0,2,2,.33333334,1.2,1,2,2,.33333334,1.2,0,4.75,.75,6,3.7862344,0,0,2,2,1,0,1,0,0,0,0,1,1.6,2,2,1.2,.49056605
592,124,0,21,1,2,3,0,10,0,1,0,3,0,0,0,0,0,0,2,1.6,.33333334,0,0,2,1.6,.33333334,0,0,4.5,.25,5,1.4554676,.5,0,3,3,1,1,0,0,0,1,1,0,2,2,1.3333334,1.6,.26415095
593,124,0,28,3,2,4,0,14,30,1,0,6,1,0,1,0,0,0,2,1.6,.33333334,.80000001,0,2,1.6,.33333334,.80000001,0,5,.66666669,3,4,0,0,3,2,2,1,0,1,0,1,0,0,2,1.2,1.3333334,2,0
594,124,0,35,0,2,1,0,2,0,4,0,3,0,0,2,0,0,1,1.6,2,0,1.2,0,1.6,2,0,1.2,1,4.25,.5,5,3.5404372,0,0,1,2,0,0,0,0,0,1,0,0,1.6,2,1.6666666,2,0
595,124,0,32,2,2,1,0,6,0,4,0,4,0,0,0,0,1,0,1.6,2,0,1.2,1,1.6,2,0,1.2,0,3.5,0,4,3,.5,0,3,2,,,,,1,1,,,,,,1.6,.11320755
596,124,0,30,4,2,3,0,7.5,0,3,0,2,0,0,2,0,0,1,2,2,1.3333334,0,0,2,2,1.3333334,0,1,7,1,,,,,,,,,,,,0,,,,,,,0
597,124,0,28,1,2,3,0,10,0,4,0,6,1,0,2,0,0,0,2,2,.33333334,.40000001,0,2,2,.33333334,.40000001,0,3,0,,,,,,,,,,,,0,,,,,,,0
598,124,0,30,0,2,1,0,4,0,4,0,3,0,0,1,0,0,1,1.6,2,.66666669,.80000001,0,1.6,2,.66666669,.80000001,1,4,.25,6,5.984817,.5,0,1,2,0,0,0,0,0,1,1,0,1.6,2,2,.80000001,0
599,124,0,16,0,1,1,0,12,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,.5,1,4.0835629,0,0,2,2,0,0,0,0,0,0,0,0,2,1.2,1.3333334,1.2,.60377359
600,124,0,34,0,1,4,0,7,120,9,0,4,0,0,0,0,1,0,1.6,2,1.3333334,.80000001,1,1.6,2,1.3333334,.80000001,0,5.25,.75,11,22.128046,4.5,5,2,3,3,1,1,1,0,1,1,1,2,2,2,1.2,1.018868
601,124,0,16,3,1,4,0,7,120,9,0,4,0,0,1,0,0,0,2,2,0,0,0,2,2,0,0,0,4.5,.5,8,21.4,1.5,0,3,2,2,1,0,1,0,1,1,0,2,2,1.3333334,.80000001,.2264151
